Band gap energy (eV),Reported band gap energy (eV),J_o (A/m^2)
1.5673588854641454,1.59,6.534581947342283e-20
1.6077719316180819,1.6,5.638928637634613e-20
1.5909474150693015,1.6,3.8825574934912067e-20
1.562633174923761,1.6,2.0107411810677462e-19
1.6072347748218614,nan,9.03381563094916e-20
1.613402684810717,1.55,3.9009431288502947e-20
1.5927168459132024,1.6,2.121838477275434e-20
1.5217568195011326,1.6,6.430911906232007e-19
1.5850854577767328,1.6,7.86138572755874e-20
1.6028827426501127,1.55,2.1413516535157888e-20
1.6344368587974094,1.55,8.805059933425628e-21
1.5976626573791437,1.6,9.1946585297965e-20
1.63424061555754,1.6,1.876210900307787e-20
