Ref_DOI_number,Perovskite_composition_short_form,Perovskite_composition_long_form,EQE_integrated_Jsc,JV_default_Voc,JV_default_Jsc,Perovskite_band_gap
10.1126/science.adf0194,N/A,N/A,18.2,1.32,18.7,1.75
10.1002/adma.202110356,N/A,N/A,15.9,1.263,17.4,1.8
10.1126/science.abn7696,N/A,N/A,15.6,1.2666,16.8,1.8
10.1038/s41596-023-05992-y,N/A,N/A,15.31,1.31,17.8,1.77
10.1038/s41586-023-06278-z,N/A,N/A,16.5,1.27,17.6,1.78
10.1021/acsenergylett.3c02470,N/A,N/A,15.3,1.33,18.0,1.79
10.1038/s41586-022-05541-z,N/A,N/A,15.5,1.33,18.06,1.79
10.1021/acsenergylett.3c01275,N/A,N/A,22.75,1.21,22.77,1.61
10.1038/s41560-023-01250-7,N/A,N/A,16.2,1.23,18.1,1.77
